UTC DateTime,ID,Type,Lat,Lon,speed,Course
2024-10-06 15:33:04,1,Cow,-31.908175,115.90597,0.0,286.05
2024-10-06 15:33:39,2,Sheep,-31.907275,115.90597,0.0,234.53
2024-10-06 15:34:14,3,Horse,-31.908175,115.90707,0.0,318.74
2024-10-06 15:34:49,1,Cow,-31.908088,115.906077,0.0,27.77
2024-10-06 15:35:24,2,Sheep,-31.907188,115.906077,0.0,243.19
2024-10-06 15:35:59,3,Horse,-31.908088,115.907177,0.0,16.71
2024-10-06 15:36:34,1,Cow,-31.908,115.906184,0.0,80.26
2024-10-06 15:37:09,2,Sheep,-31.9071,115.906184,0.0,37.76
2024-10-06 15:37:44,3,Horse,-31.908,115.907284,0.0,342.53
2024-10-06 15:38:19,1,Cow,-31.907913,115.906291,0.0,285.7
2024-10-06 15:38:54,2,Sheep,-31.907013,115.906291,0.0,90.83
2024-10-06 15:39:29,3,Horse,-31.907913,115.907391,0.0,265.97
2024-10-06 15:40:04,1,Cow,-31.907825,115.906398,0.0,280.81
2024-10-06 15:40:39,2,Sheep,-31.906925,115.906398,0.0,328.09
2024-10-06 15:41:14,3,Horse,-31.907825,115.907498,0.0,151.43
2024-10-06 15:41:49,1,Cow,-31.907738,115.906505,0.0,328.06
2024-10-06 15:42:24,2,Sheep,-31.906838,115.906505,0.0,237.26
2024-10-06 15:42:59,3,Horse,-31.907738,115.907605,0.0,339.9
2024-10-06 15:43:34,1,Cow,-31.90765,115.906612,0.0,357.91
2024-10-06 15:44:09,2,Sheep,-31.90675,115.906612,0.0,241.0
2024-10-06 15:44:44,3,Horse,-31.90765,115.907712,0.0,16.46
2024-10-06 15:45:19,1,Cow,-31.907563,115.906719,0.0,254.92
2024-10-06 15:45:54,2,Sheep,-31.906663,115.906719,0.0,326.31
2024-10-06 15:46:29,3,Horse,-31.907563,115.907819,0.0,247.42
2024-10-06 15:47:04,1,Cow,-31.907475,115.906826,0.0,202.49
2024-10-06 15:47:39,2,Sheep,-31.906575,115.906826,0.0,278.87
2024-10-06 15:48:14,3,Horse,-31.907475,115.907926,0.0,152.72
2024-10-06 15:48:49,1,Cow,-31.907388,115.906933,0.0,38.14
2024-10-06 15:49:24,2,Sheep,-31.906488,115.906933,0.0,29.45
2024-10-06 15:49:59,3,Horse,-31.907388,115.908033,0.0,121.16
2024-10-06 15:50:34,1,Cow,-31.9073,115.90704,0.0,111.56
2024-10-06 15:51:09,2,Sheep,-31.9064,115.90704,0.0,42.93
2024-10-06 15:51:44,3,Horse,-31.9073,115.90814,0.0,104.13
2024-10-06 15:52:19,1,Cow,-31.907213,115.907147,0.0,285.73
2024-10-06 15:52:54,2,Sheep,-31.906313,115.907147,0.0,95.93
2024-10-06 15:53:29,3,Horse,-31.907213,115.908247,0.0,242.47
2024-10-06 15:54:04,1,Cow,-31.907125,115.907254,0.0,190.92
2024-10-06 15:54:39,2,Sheep,-31.906225,115.907254,0.0,190.57
2024-10-06 15:55:14,3,Horse,-31.907125,115.908354,0.0,236.42
2024-10-06 15:55:49,1,Cow,-31.907038,115.90736,0.0,356.79
2024-10-06 15:56:24,2,Sheep,-31.906138,115.90736,0.0,204.56
2024-10-06 15:56:59,3,Horse,-31.907038,115.90846,0.0,337.66
2024-10-06 15:57:34,1,Cow,-31.90695,115.907467,0.0,184.01
2024-10-06 15:58:09,2,Sheep,-31.90605,115.907467,0.0,147.74
2024-10-06 15:58:44,3,Horse,-31.90695,115.908567,0.0,40.77
2024-10-06 15:59:19,1,Cow,-31.906863,115.907574,0.0,29.85
2024-10-06 15:59:54,2,Sheep,-31.905963,115.907574,0.0,230.6
2024-10-06 16:00:29,3,Horse,-31.906863,115.908674,0.0,179.58
2024-10-06 16:01:04,1,Cow,-31.906775,115.907681,0.0,22.5
2024-10-06 16:01:39,2,Sheep,-31.905875,115.907681,0.0,24.03
2024-10-06 16:02:14,3,Horse,-31.906775,115.908781,0.0,181.16
2024-10-06 16:02:49,1,Cow,-31.906688,115.907788,0.0,292.16
2024-10-06 16:03:24,2,Sheep,-31.905788,115.907788,0.0,224.46
2024-10-06 16:03:59,3,Horse,-31.906688,115.908888,0.0,183.23
2024-10-06 16:04:34,1,Cow,-31.9066,115.907895,0.0,350.91
2024-10-06 16:05:09,2,Sheep,-31.9057,115.907895,0.0,314.5
2024-10-06 16:05:44,3,Horse,-31.9066,115.908995,0.0,186.29
2024-10-06 16:06:19,1,Cow,-31.906513,115.908002,0.0,355.88
2024-10-06 16:06:54,2,Sheep,-31.905613,115.908002,0.0,6.34
2024-10-06 16:07:29,3,Horse,-31.906513,115.909102,0.0,239.96
2024-10-06 16:08:04,1,Cow,-31.906425,115.908109,0.0,222.2
2024-10-06 16:08:39,2,Sheep,-31.905525,115.908109,0.0,297.73
2024-10-06 16:09:14,3,Horse,-31.906425,115.909209,0.0,284.87
2024-10-06 16:09:49,1,Cow,-31.906338,115.908216,0.0,31.96
2024-10-06 16:10:24,2,Sheep,-31.905438,115.908216,0.0,85.09
2024-10-06 16:10:59,3,Horse,-31.906338,115.909316,0.0,191.63
2024-10-06 16:11:34,1,Cow,-31.90625,115.908323,0.0,60.55
2024-10-06 16:12:09,2,Sheep,-31.90535,115.908323,0.0,43.86
2024-10-06 16:12:44,3,Horse,-31.90625,115.909423,0.0,8.4
2024-10-06 16:13:19,1,Cow,-31.906163,115.90843,0.0,149.05
2024-10-06 16:13:54,2,Sheep,-31.905263,115.90843,0.0,34.24
2024-10-06 16:14:29,3,Horse,-31.906163,115.90953,0.0,286.0
2024-10-06 16:15:04,1,Cow,-31.906075,115.908537,0.0,323.74
2024-10-06 16:15:39,2,Sheep,-31.905175,115.908537,0.0,248.23
2024-10-06 16:16:14,3,Horse,-31.906075,115.909637,0.0,5.64
2024-10-06 16:16:49,1,Cow,-31.905988,115.908644,0.0,106.12
2024-10-06 16:17:24,2,Sheep,-31.905088,115.908644,0.0,116.42
2024-10-06 16:17:59,3,Horse,-31.905988,115.909744,0.0,47.2
2024-10-06 16:18:34,1,Cow,-31.9059,115.908751,0.0,68.51
2024-10-06 16:19:09,2,Sheep,-31.905,115.908751,0.0,223.58
2024-10-06 16:19:44,3,Horse,-31.9059,115.909851,0.0,223.33
2024-10-06 16:20:19,1,Cow,-31.905813,115.908858,0.0,318.18
2024-10-06 16:20:54,2,Sheep,-31.904913,115.908858,0.0,189.23
2024-10-06 16:21:29,3,Horse,-31.905813,115.909958,0.0,261.05
2024-10-06 16:22:04,1,Cow,-31.905725,115.908965,0.0,221.2
2024-10-06 16:22:39,2,Sheep,-31.904825,115.908965,0.0,186.21
2024-10-06 16:23:14,3,Horse,-31.905725,115.910065,0.0,277.24
2024-10-06 16:23:49,1,Cow,-31.905638,115.909072,0.0,209.0
2024-10-06 16:24:24,2,Sheep,-31.904738,115.909072,0.0,144.84
2024-10-06 16:24:59,3,Horse,-31.905638,115.910172,0.0,219.19
2024-10-06 16:25:34,1,Cow,-31.90555,115.909179,0.0,41.28
2024-10-06 16:26:09,2,Sheep,-31.90465,115.909179,0.0,152.16
2024-10-06 16:26:44,3,Horse,-31.90555,115.910279,0.0,185.59
2024-10-06 16:27:19,1,Cow,-31.905463,115.909285,0.0,252.45
2024-10-06 16:27:54,2,Sheep,-31.904563,115.909285,0.0,263.19
2024-10-06 16:28:29,3,Horse,-31.905463,115.910385,0.0,147.6
2024-10-06 16:29:04,1,Cow,-31.905375,115.909392,0.0,85.84
2024-10-06 16:29:39,2,Sheep,-31.904475,115.909392,0.0,206.42
2024-10-06 16:30:14,3,Horse,-31.905375,115.910492,0.0,82.51
2024-10-06 16:30:49,1,Cow,-31.905288,115.909499,0.0,16.28
2024-10-06 16:31:24,2,Sheep,-31.904388,115.909499,0.0,304.78
2024-10-06 16:31:59,3,Horse,-31.905288,115.910599,0.0,343.15
2024-10-06 16:32:34,1,Cow,-31.9052,115.909606,0.0,132.22
2024-10-06 16:33:09,2,Sheep,-31.9043,115.909606,0.0,281.43
2024-10-06 16:33:44,3,Horse,-31.9052,115.910706,0.0,2.2
2024-10-06 16:34:19,1,Cow,-31.905113,115.909713,0.0,227.24
2024-10-06 16:34:54,2,Sheep,-31.904213,115.909713,0.0,0.53
